"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2001:0:14c9:d804:3c35:7b0a:ab8c:2233","2001:0:14c9:d804:8f5:2bf:3f57:fe5a","TCP","86","61857  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1220 WS=256 SACK_PERM"
"2","4.913875","1.0.168.192","224.0.0.1","ICMP","60","Mobile IP Advertisement (Normal router advertisement)"
"3","6.015845","192.168.0.251","213.147.165.117","TCP","66","61857  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"4","7.030027","192.168.0.251","213.147.165.117","TCP","66","[TCP Retransmission] 61857  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"5","9.039160","192.168.0.251","213.147.165.117","TCP","66","[TCP Retransmission] 61857  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"6","10.533851","HewlettPacka_33:12:d3","MS-NLB-PhysServer-16_18:7b:f7:64","ARP","42","Who has 192.168.0.1? Tell 192.168.0.251"
"7","10.534651","MS-NLB-PhysServer-16_18:7b:f7:64","HewlettPacka_33:12:d3","ARP","60","192.168.0.1 is at 02:10:18:7b:f7:64"
"8","13.040204","192.168.0.251","213.147.165.117","TCP","66","[TCP Retransmission] 61857  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"9","14.093515","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:8388:8640:7a80:10:18ff:fe7b:f764","DNS","95","Standard query 0x7b7f A wpad.telekom.ip"
"10","14.093601","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:8388:8640:7a80:10:18ff:fe7b:f764","DNS","95","Standard query 0xeb5e A wpad.telekom.ip"
"11","14.093767","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:8388:8640:7a80:10:18ff:fe7b:f764","DNS","95","Standard query 0x6e77 AAAA wpad.telekom.ip"
"12","14.094545","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:8388:8640:7a80:10:18ff:fe7b:f764","DNS","95","Standard query 0x85d1 AAAA wpad.telekom.ip"
"13","14.098254","2a02:8388:8640:7a80:10:18ff:fe7b:f764","2a02:8388:8640:7a80:7869:2d93:b272:cf93","DNS","95","Standard query response 0x7b7f No such name A wpad.telekom.ip"
"14","14.100139","2a02:8388:8640:7a80:10:18ff:fe7b:f764","2a02:8388:8640:7a80:7869:2d93:b272:cf93","DNS","95","Standard query response 0xeb5e No such name A wpad.telekom.ip"
"15","14.101129","2a02:8388:8640:7a80:10:18ff:fe7b:f764","2a02:8388:8640:7a80:7869:2d93:b272:cf93","DNS","95","Standard query response 0x6e77 No such name AAAA wpad.telekom.ip"
"16","14.101466","2a02:8388:8640:7a80:10:18ff:fe7b:f764","2a02:8388:8640:7a80:7869:2d93:b272:cf93","DNS","95","Standard query response 0x85d1 No such name AAAA wpad.telekom.ip"
"17","19.031403","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:8388:8640:7a80:10:18ff:fe7b:f764","ICMPv6","86","Neighbor Solicitation for 2a02:8388:8640:7a80:10:18ff:fe7b:f764 from c8:d9:d2:33:12:d3"
"18","19.032110","2a02:8388:8640:7a80:10:18ff:fe7b:f764","2a02:8388:8640:7a80:7869:2d93:b272:cf93","ICMPv6","78","Neighbor Advertisement 2a02:8388:8640:7a80:10:18ff:fe7b:f764 (rtr, sol)"
"19","19.552695","fe80::10:18ff:fe7b:f764","2a02:8388:8640:7a80:7869:2d93:b272:cf93","ICMPv6","86","Neighbor Solicitation for 2a02:8388:8640:7a80:7869:2d93:b272:cf93 from 02:10:18:7b:f7:64"
"20","19.552816","2a02:8388:8640:7a80:7869:2d93:b272:cf93","fe80::10:18ff:fe7b:f764","ICMPv6","86","Neighbor Advertisement 2a02:8388:8640:7a80:7869:2d93:b272:cf93 (sol, ovr) is at c8:d9:d2:33:12:d3"
"21","20.654075","fe80::ffff:ffff:fffe","ff02::2","ICMPv6","103","Router Solicitation"
"22","20.683646","fe80::8000:f227:eb36:27fb","fe80::ffff:ffff:fffe","ICMPv6","151","Router Advertisement"
"23","21.055467","192.168.0.251","213.147.165.117","TCP","66","[TCP Retransmission] 61857  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"24","24.531369","fe80::1d2:b3b3:b3d5:978a","fe80::10:18ff:fe7b:f764","ICMPv6","86","Neighbor Solicitation for fe80::10:18ff:fe7b:f764 from c8:d9:d2:33:12:d3"
"25","24.531950","fe80::10:18ff:fe7b:f764","fe80::1d2:b3b3:b3d5:978a","ICMPv6","78","Neighbor Advertisement fe80::10:18ff:fe7b:f764 (rtr, sol)"
"26","25.697129","MS-NLB-PhysServer-16_18:7b:f7:64","HewlettPacka_33:12:d3","ARP","60","Who has 192.168.0.251? Tell 192.168.0.1"
"27","25.697168","HewlettPacka_33:12:d3","MS-NLB-PhysServer-16_18:7b:f7:64","ARP","42","192.168.0.251 is at c8:d9:d2:33:12:d3"
"28","26.797193","fe80::10:18ff:fe7b:f764","ff02::15d","UDP","110","14045  >  14041 Len=48"
"29","29.793145","fe80::10:18ff:fe7b:f764","fe80::1d2:b3b3:b3d5:978a","ICMPv6","86","Neighbor Solicitation for fe80::1d2:b3b3:b3d5:978a from 02:10:18:7b:f7:64"
"30","29.793350","fe80::1d2:b3b3:b3d5:978a","fe80::10:18ff:fe7b:f764","ICMPv6","86","Neighbor Advertisement fe80::1d2:b3b3:b3d5:978a (sol, ovr) is at c8:d9:d2:33:12:d3"
"31","36.631627","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:26f0:11a:3a3::21cc","TCP","74","61843  >  80 [FIN, ACK] Seq=1 Ack=1 Win=254 Len=0"
"32","36.631761","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:26f0:11a:3a3::21cc","TCP","74","61853  >  80 [FIN, ACK] Seq=1 Ack=1 Win=254 Len=0"
"33","36.631852","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a00:1450:4016:80a::2003","TCP","74","61844  >  80 [FIN, ACK] Seq=1 Ack=1 Win=254 Len=0"
"34","36.631914","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a00:1450:4016:80a::2003","TCP","74","61854  >  80 [FIN, ACK] Seq=1 Ack=1 Win=254 Len=0"
"35","36.631988","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a04:4e42:41::684","TCP","74","61845  >  80 [FIN, ACK] Seq=1 Ack=1 Win=254 Len=0"
"36","36.632053","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a04:4e42:41::684","TCP","74","61855  >  80 [FIN, ACK] Seq=1 Ack=1 Win=254 Len=0"
"37","36.638831","2a02:26f0:11a:3a3::21cc","2a02:8388:8640:7a80:7869:2d93:b272:cf93","TCP","74","80  >  61843 [FIN, ACK] Seq=1 Ack=2 Win=505 Len=0"
"38","36.638861","2a04:4e42:41::684","2a02:8388:8640:7a80:7869:2d93:b272:cf93","TCP","74","80  >  61845 [ACK] Seq=1 Ack=2 Win=270 Len=0"
"39","36.638861","2a04:4e42:41::684","2a02:8388:8640:7a80:7869:2d93:b272:cf93","TCP","74","80  >  61845 [FIN, ACK] Seq=1 Ack=2 Win=270 Len=0"
"40","36.638942","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:26f0:11a:3a3::21cc","TCP","74","61843  >  80 [ACK] Seq=2 Ack=2 Win=254 Len=0"
